pratyaya	pratyaya_deva	slp1_anchor	dsg_url
kta	क्त	kta	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-kta
ṭāp	टाप्	wAp	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-wAp
lyuṭ	ल्युट्	lyuw	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-lyuw
ac	अच्	ac	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-ac
aṇ	अण्	aR	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-aR
ghañ	घञ्	GaY	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-GaY
ini	इनि	ini	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-ini
kan	कन्	kan	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-kan
ṅīp	ङीप्	NIp	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-NIp
ṭhak	ठक्	Wak	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-Wak
ṣyañ	ष्यञ्	zyaY	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-zyaY
ka	क	ka	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-ka
ktin	क्तिन्	ktin	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-ktin
ṇvul	ण्वुल्	Rvul	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-Rvul
yat	यत्	yat	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-yat
ṅīṣ	ङीष्	NIz	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-NIz
matup	मतुप्	matup	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-matup
tṛc	तृच्	tfc	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tfc
tasil	तसिल्	tasil	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tasil
tal	तल्	tal	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tal
tva	त्व	tva	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tva
śas	शस्	Sas	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-Sas
vini	विनि	vini	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-vini
tamap	तमप्	tamap	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tamap
ṭyu	ट्यु	wyu	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-wyu
tarap	तरप्	tarap	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tarap
valac	वलच्	valac	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-valac
