pratyaya	slp1	in_dsg	dsg_url
kta	kta	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-kta
ṭāp	wAp	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-wAp
lyuṭ	lyuw	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-lyuw
ac	ac	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-ac
aṇ	aR	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-aR
ghañ	GaY	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-GaY
ini	ini	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-ini
kan	kan	N	
ṅīp	NIp	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-NIp
ṭhak	Wak	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-Wak
ṣyañ	zyaY	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-zyaY
ka	ka	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-ka
ktin	ktin	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-ktin
ṇvul	Rvul	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-Rvul
yat	yat	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-yat
ṅīṣ	NIz	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-NIz
matup	matup	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-matup
tṛc	tfc	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tfc
tasil	tasil	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tasil
tal	tal	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tal
tva	tva	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tva
śas	Sas	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-Sas
vini	vini	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-vini
tamap	tamap	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tamap
ṭyu	wyu	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-wyu
tarap	tarap	Y	https://samskrtam.ru/sanskrit-lexicon/dsg/#t-tarap
valac	valac	N	
