dict_a	dict_b	shared	union	jaccard
AP	BHS	1962	104543	0.0188
AP	BUR	7246	100633	0.0720
AP	CAE	13048	114172	0.1143
AP	CCS	9982	107505	0.0929
AP	GRA	3733	96119	0.0388
AP	INM	2212	95963	0.0231
AP	MD	8269	100570	0.0822
AP	MW	38082	244514	0.1557
AP	PWG	23708	171090	0.1386
AP	PWK	26648	213410	0.1249
AP	SCH	4535	112640	0.0403
AP	SKD	18828	110619	0.1702
AP	VCP	15753	121574	0.1296
AP	VEI	890	91556	0.0097
BHS	BUR	1567	35329	0.0444
BHS	CAE	2433	53804	0.0452
BHS	CCS	2163	44341	0.0488
BHS	GRA	599	28270	0.0212
BHS	INM	957	26235	0.0365
BHS	MD	1763	36093	0.0488
BHS	MW	6525	205088	0.0318
BHS	PWG	4779	119036	0.0401
BHS	PWK	6088	162987	0.0374
BHS	SCH	2212	43980	0.0503
BHS	SKD	599	57865	0.0104
BHS	VCP	2599	63745	0.0408
BHS	VEI	353	21110	0.0167
BUR	CAE	7510	50101	0.1499
BUR	CCS	6853	41025	0.1670
BUR	GRA	2639	27604	0.0956
BUR	INM	1705	26861	0.0635
BUR	MD	6447	32783	0.1967
BUR	MW	13908	199079	0.0699
BUR	PWG	12534	112655	0.1113
BUR	PWK	12566	157883	0.0796
BUR	SCH	2920	44646	0.0654
BUR	SKD	2097	57741	0.0363
BUR	VCP	10217	57501	0.1777
BUR	VEI	1150	21687	0.0530
CAE	CCS	27008	40211	0.6717
CAE	GRA	6780	42804	0.1584
CAE	INM	3300	44607	0.0740
CAE	MD	13366	45205	0.2957
CAE	MW	35053	197275	0.1777
CAE	PWG	29051	115479	0.2516
CAE	PWK	34144	155646	0.2194
CAE	SCH	4898	62009	0.0790
CAE	SKD	1697	77482	0.0219
CAE	VCP	14307	72752	0.1967
CAE	VEI	2138	40040	0.0534
CCS	GRA	5708	34143	0.1672
CCS	INM	2779	35395	0.0785
CCS	MD	11924	36914	0.3230
CCS	MW	25881	196714	0.1316
CCS	PWG	23856	110941	0.2150
CCS	PWK	27174	152883	0.1777
CCS	SCH	4047	53127	0.0762
CCS	SKD	1522	67924	0.0224
CCS	VCP	11940	65386	0.1826
CCS	VEI	1919	30526	0.0629
GRA	INM	918	19621	0.0468
GRA	MD	4107	27096	0.1516
GRA	MW	9752	195208	0.0500
GRA	PWG	8961	108201	0.0828
GRA	PWK	9645	152777	0.0631
GRA	SCH	1277	38262	0.0334
GRA	SKD	713	51098	0.0140
GRA	VCP	3987	55704	0.0716
GRA	VEI	1505	13305	0.1131
INM	MD	2045	27481	0.0744
INM	MW	6772	196511	0.0345
INM	PWG	5561	109924	0.0506
INM	PWK	5900	154845	0.0381
INM	SCH	1035	36827	0.0281
INM	SKD	622	49512	0.0126
INM	VCP	3755	54259	0.0692
INM	VEI	658	12475	0.0527
MD	MW	18631	195316	0.0954
MD	PWG	15187	110962	0.1369
MD	PWK	17833	153576	0.1161
MD	SCH	3866	44660	0.0866
MD	SKD	1608	59190	0.0272
MD	VCP	9452	59226	0.1596
MD	VEI	1581	22216	0.0712
MW	PWG	94753	205153	0.4619
MW	PWK	128971	216195	0.5965
MW	SCH	14499	207784	0.0698
MW	SKD	8743	225812	0.0387
MW	VCP	39011	203424	0.1918
MW	VEI	3166	194388	0.0163
PWG	PWK	99437	157931	0.6296
PWG	SCH	7778	126707	0.0614
PWG	SKD	5497	141260	0.0389
PWG	VCP	34622	120015	0.2885
PWG	VEI	2949	106807	0.0276
PWK	SCH	18285	161460	0.1132
PWK	SKD	5635	186382	0.0302
PWK	VCP	35251	164646	0.2141
PWK	VEI	3017	151999	0.0198
SCH	SKD	967	68167	0.0142
SCH	VCP	5366	71648	0.0749
SCH	VEI	557	31576	0.0176
SKD	VCP	6892	82394	0.0836
SKD	VEI	341	44064	0.0077
VCP	VEI	1817	50468	0.0360
