dict,events_total,origin_classified,print_source,digitization,conversion_markup,print_source_share_of_classified_pct,top_corrector_share_of_print_source_pct
pw,13662,11842,195,11553,94,1.6,33.3
mw,9638,4523,83,1035,3405,1.8,34.9
pwg,3771,932,27,116,789,2.9,63.0
ap90,2539,651,18,388,245,2.8,66.7
ap,2407,913,5,488,420,0.5,40.0
ccs,2289,2226,92,2126,8,4.1,90.2
bur,1807,739,241,444,54,32.6,97.1
cae,1696,1298,216,1080,2,16.6,95.8
pd,1375,1375,511,864,0,37.2,100.0
ben,1220,622,292,170,160,46.9,97.9
wil,1207,1130,7,1118,5,0.6,57.1
md,1124,86,4,8,74,4.7,75.0
pui,980,739,99,544,96,13.4,70.7
vcp,904,384,14,363,7,3.6,92.9
gra,717,349,5,171,173,1.4,80.0
shs,680,167,12,149,6,7.2,58.3
skd,558,323,90,226,7,27.9,94.4
yat,551,208,10,198,0,4.8,70.0
sch,529,388,9,63,316,2.3,100.0
acc,458,155,14,141,0,9.0,85.7
bop,408,114,0,30,84,0.0,
mw72,365,145,1,109,35,0.7,100.0
bhs,328,159,1,15,143,0.6,100.0
gst,308,186,0,6,180,0.0,
lrv,287,62,0,0,62,0.0,
stc,264,70,15,52,3,21.4,60.0
ieg,232,62,5,38,19,8.1,60.0
vei,222,146,4,33,109,2.7,50.0
lan,210,106,0,0,106,0.0,
inm,179,74,30,37,7,40.5,90.0
mwe,145,45,0,45,0,0.0,
pwkvn,139,109,0,0,109,0.0,
fri,93,54,0,0,54,0.0,
pe,86,40,8,29,3,20.0,62.5
abch,85,32,0,0,32,0.0,
krm,78,50,0,9,41,0.0,
apes,72,69,0,69,0,0.0,
pwg2013,50,47,0,45,2,0.0,
